state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
NJ,13,NA,NA,$15.49,May 2024 through April 2025,NA
NM,13,0.10482006231585868,89000,$12.00,May 2024 through April 2025,2797
NV,13,0.08598981231333774,119000,$12.00,May 2024 through April 2025,2654
NY,13,NA,NA,$15.50,May 2024 through April 2025,NA
OH,13,0.07436296854940419,380000,$10.70,May 2024 through April 2025,5268
OK,13,0.1361093541575437,230000,$7.25,May 2024 through April 2025,2975
OR,13,NA,NA,$14.70,May 2024 through April 2025,NA
PA,13,0.08182526404945474,459000,$7.25,May 2024 through April 2025,5224
RI,13,NA,NA,$15.00,May 2024 through April 2025,NA
SC,13,0.0993058271990654,219000,$7.25,May 2024 through April 2025,2875
SD,13,0.048773359306339824,21000,$11.50,May 2024 through April 2025,2568
TN,13,0.08763375215932909,262000,$7.25,May 2024 through April 2025,3312
TX,13,0.11690691946982386,1557000,$7.25,May 2024 through April 2025,12063
UT,13,0.06429490073332618,101000,$7.25,May 2024 through April 2025,3979
VA,13,NA,NA,$12.41,May 2024 through April 2025,NA
VT,13,NA,NA,$14.01,May 2024 through April 2025,NA
WA,13,NA,NA,$16.66,May 2024 through April 2025,NA
WI,13,0.05855287566360136,163000,$7.25,May 2024 through April 2025,3757
WV,13,0.13636962710284478,94000,$8.75,May 2024 through April 2025,3141
WY,13,0.09371395539129529,23000,$7.25,May 2024 through April 2025,2710
AK,14,0.037497799127109425,11000,$11.91,May 2024 through April 2025,2221
AL,14,0.14881356056520215,311000,$7.25,May 2024 through April 2025,2522
AR,14,0.16205442688014166,206000,$11.00,May 2024 through April 2025,2940
AZ,14,NA,NA,$14.70,May 2024 through April 2025,NA
CA,14,NA,NA,$16.50,May 2024 through April 2025,NA
CO,14,NA,NA,$14.81,May 2024 through April 2025,NA
CT,14,NA,NA,$16.35,May 2024 through April 2025,NA
DC,14,NA,NA,$17.50,May 2024 through April 2025,NA
DE,14,NA,NA,$15.00,May 2024 through April 2025,NA
FL,14,0.11177470242945652,1012000,$13.00,May 2024 through April 2025,6499
GA,14,0.12572072613532534,568000,$7.25,May 2024 through April 2025,3481
HI,14,NA,NA,$14.00,May 2024 through April 2025,NA
IA,14,0.10152825054841752,145000,$7.25,May 2024 through April 2025,2426
ID,14,0.10050647020003478,86000,$7.25,May 2024 through April 2025,3982
IL,14,NA,NA,$15.00,May 2024 through April 2025,NA
IN,14,0.10385994741153753,316000,$7.25,May 2024 through April 2025,3383
KS,14,0.1242889794863129,166000,$7.25,May 2024 through April 2025,2819
KY,14,0.146320014553723,257000,$7.25,May 2024 through April 2025,1977
LA,14,0.21861629349594963,374000,$7.25,May 2024 through April 2025,2837
MA,14,NA,NA,$15.00,May 2024 through April 2025,NA
MD,14,NA,NA,$15.00,May 2024 through April 2025,NA
ME,14,NA,NA,$14.65,May 2024 through April 2025,NA
MI,14,0.08701548792084055,376000,$12.48,May 2024 through April 2025,4400
MN,14,0.03947272631226055,106000,$11.13,May 2024 through April 2025,3160
MO,14,NA,NA,$13.75,May 2024 through April 2025,NA
MS,14,0.21325671996025278,241000,$7.25,May 2024 through April 2025,2769
MT,14,0.08297783833916052,39000,$10.55,May 2024 through April 2025,3384
NC,14,0.13743115732615652,629000,$7.25,May 2024 through April 2025,3547
ND,14,0.055549030168152234,21000,$7.25,May 2024 through April 2025,3415
NE,14,NA,NA,$13.50,May 2024 through April 2025,NA
NH,14,0.04402441328803883,30000,$7.25,May 2024 through April 2025,2866
NJ,14,NA,NA,$15.49,May 2024 through April 2025,NA
NM,14,0.1406139451273745,119000,$12.00,May 2024 through April 2025,2797
NV,14,0.10727213294068443,148000,$12.00,May 2024 through April 2025,2654
NY,14,NA,NA,$15.50,May 2024 through April 2025,NA
OH,14,0.09808787362929938,501000,$10.70,May 2024 through April 2025,5268
OK,14,0.16399460627158577,277000,$7.25,May 2024 through April 2025,2975
OR,14,NA,NA,$14.70,May 2024 through April 2025,NA
PA,14,0.09871218909532085,553000,$7.25,May 2024 through April 2025,5224
RI,14,NA,NA,$15.00,May 2024 through April 2025,NA
SC,14,0.12427676217683807,274000,$7.25,May 2024 through April 2025,2875
SD,14,0.07046599509393313,31000,$11.50,May 2024 through April 2025,2568
TN,14,0.10491342881308646,314000,$7.25,May 2024 through April 2025,3312
TX,14,0.14261848311349676,1899000,$7.25,May 2024 through April 2025,12063
UT,14,0.09039293787379456,142000,$7.25,May 2024 through April 2025,3979
VA,14,0.07464985424630984,289000,$12.41,May 2024 through April 2025,3598
VT,14,NA,NA,$14.01,May 2024 through April 2025,NA
WA,14,NA,NA,$16.66,May 2024 through April 2025,NA
WI,14,0.07257543945382415,202000,$7.25,May 2024 through April 2025,3757
WV,14,0.17359360930451415,119000,$8.75,May 2024 through April 2025,3141
WY,14,0.12285919414307168,30000,$7.25,May 2024 through April 2025,2710
AK,15,0.05052948728123618,15000,$11.91,May 2024 through April 2025,2221
AL,15,0.1880247643139482,393000,$7.25,May 2024 through April 2025,2522
AR,15,0.2060718757081978,262000,$11.00,May 2024 through April 2025,2940
AZ,15,NA,NA,$14.70,May 2024 through April 2025,NA
CA,15,NA,NA,$16.50,May 2024 through April 2025,NA
CO,15,NA,NA,$14.81,May 2024 through April 2025,NA
CT,15,NA,NA,$16.35,May 2024 through April 2025,NA
DC,15,NA,NA,$17.50,May 2024 through April 2025,NA
DE,15,NA,NA,$15.00,May 2024 through April 2025,NA
FL,15,0.15320250726056217,1387000,$13.00,May 2024 through April 2025,6499
GA,15,0.15711118212856853,710000,$7.25,May 2024 through April 2025,3481
HI,15,0.1012883223018122,57000,$14.00,May 2024 through April 2025,2769
IA,15,0.13662651621219365,195000,$7.25,May 2024 through April 2025,2426
ID,15,0.12580606370731748,108000,$7.25,May 2024 through April 2025,3982
IL,15,NA,NA,$15.00,May 2024 through April 2025,NA
IN,15,0.12904918277534094,393000,$7.25,May 2024 through April 2025,3383
KS,15,0.1533775454160597,204000,$7.25,May 2024 through April 2025,2819
KY,15,0.18026958229986473,316000,$7.25,May 2024 through April 2025,1977
LA,15,0.2616225724960359,448000,$7.25,May 2024 through April 2025,2837
MA,15,NA,NA,$15.00,May 2024 through April 2025,NA
MD,15,NA,NA,$15.00,May 2024 through April 2025,NA
ME,15,NA,NA,$14.65,May 2024 through April 2025,NA
MI,15,0.11664119770762478,504000,$12.48,May 2024 through April 2025,4400
MN,15,0.05170399873429963,139000,$11.13,May 2024 through April 2025,3160
MO,15,0.12542773870450358,345000,$13.75,May 2024 through April 2025,3136
MS,15,0.26200753698671375,296000,$7.25,May 2024 through April 2025,2769
MT,15,0.10640387215867396,50000,$10.55,May 2024 through April 2025,3384
NC,15,0.17195368944231107,787000,$7.25,May 2024 through April 2025,3547
ND,15,0.07459563049481881,28000,$7.25,May 2024 through April 2025,3415
NE,15,0.10554793521160456,98000,$13.50,May 2024 through April 2025,3079
NH,15,0.06587191277681066,45000,$7.25,May 2024 through April 2025,2866
NJ,15,NA,NA,$15.49,May 2024 through April 2025,NA
NM,15,0.18674966875393403,158000,$12.00,May 2024 through April 2025,2797
NV,15,0.13662508722678224,189000,$12.00,May 2024 through April 2025,2654
NY,15,NA,NA,$15.50,May 2024 through April 2025,NA
OH,15,0.1280955365386379,654000,$10.70,May 2024 through April 2025,5268
OK,15,0.2099708631432501,355000,$7.25,May 2024 through April 2025,2975
OR,15,NA,NA,$14.70,May 2024 through April 2025,NA
PA,15,0.12021589540935744,674000,$7.25,May 2024 through April 2025,5224
RI,15,NA,NA,$15.00,May 2024 through April 2025,NA
SC,15,0.16028497123240887,354000,$7.25,May 2024 through April 2025,2875
SD,15,0.09267586135807585,40000,$11.50,May 2024 through April 2025,2568
TN,15,0.14088920828866272,421000,$7.25,May 2024 through April 2025,3312
TX,15,0.17177240210121994,2287000,$7.25,May 2024 through April 2025,12063
UT,15,0.12269895617202038,192000,$7.25,May 2024 through April 2025,3979
VA,15,0.10315980322361137,400000,$12.41,May 2024 through April 2025,3598
VT,15,NA,NA,$14.01,May 2024 through April 2025,NA
WA,15,NA,NA,$16.66,May 2024 through April 2025,NA
WI,15,0.0999569945312997,278000,$7.25,May 2024 through April 2025,3757
WV,15,0.21344118766212478,147000,$8.75,May 2024 through April 2025,3141
WY,15,0.15257879872106667,37000,$7.25,May 2024 through April 2025,2710
AK,16,0.08181683162362592,25000,$11.91,May 2024 through April 2025,2221
AL,16,0.24696417547666458,516000,$7.25,May 2024 through April 2025,2522
AR,16,0.2675072317938724,340000,$11.00,May 2024 through April 2025,2940
AZ,16,0.1522234461298078,477000,$14.70,May 2024 through April 2025,3175
CA,16,NA,NA,$16.50,May 2024 through April 2025,NA
CO,16,0.06983240422663697,187000,$14.81,May 2024 through April 2025,2526
CT,16,NA,NA,$16.35,May 2024 through April 2025,NA
DC,16,NA,NA,$17.50,May 2024 through April 2025,NA
DE,16,0.16538494861455583,73000,$15.00,May 2024 through April 2025,2044
FL,16,0.22078068666221945,1999000,$13.00,May 2024 through April 2025,6499
GA,16,0.21400480554924087,967000,$7.25,May 2024 through April 2025,3481
HI,16,0.15830982438439348,89000,$14.00,May 2024 through April 2025,2769
IA,16,0.1926608995648193,276000,$7.25,May 2024 through April 2025,2426
ID,16,0.18025549935831697,155000,$7.25,May 2024 through April 2025,3982
IL,16,0.13424937900511572,763000,$15.00,May 2024 through April 2025,5488
IN,16,0.18652812849857547,568000,$7.25,May 2024 through April 2025,3383
KS,16,0.2000333934611112,267000,$7.25,May 2024 through April 2025,2819
KY,16,0.25102435289712294,440000,$7.25,May 2024 through April 2025,1977
LA,16,0.32216913144150017,551000,$7.25,May 2024 through April 2025,2837
MA,16,0.07175715789971954,239000,$15.00,May 2024 through April 2025,4110
MD,16,0.11467745306234184,325000,$15.00,May 2024 through April 2025,2462
ME,16,0.10421661657817825,62000,$14.65,May 2024 through April 2025,1481
MI,16,0.17554432412538146,759000,$12.48,May 2024 through April 2025,4400
MN,16,0.09409790602303117,252000,$11.13,May 2024 through April 2025,3160
MO,16,0.19182267127802413,528000,$13.75,May 2024 through April 2025,3136
MS,16,0.334539487199917,378000,$7.25,May 2024 through April 2025,2769
MT,16,0.14133953710880115,66000,$10.55,May 2024 through April 2025,3384
NC,16,0.2356501599777073,1078000,$7.25,May 2024 through April 2025,3547
ND,16,0.10801367230639854,40000,$7.25,May 2024 through April 2025,3415
NE,16,0.15464828577844655,143000,$13.50,May 2024 through April 2025,3079
NH,16,0.1030500410887,70000,$7.25,May 2024 through April 2025,2866
NJ,16,NA,NA,$15.49,May 2024 through April 2025,NA
